Group               ,key                                ,English                                                                                                                                                                                                                                                                       ,Spanish                                                                                                                                                                                                                                                        ,German                                                                                                                                                                                                      ,French                                                                                                                                                                                                                 ,Italian
shippingServices    ,carrier                            ,Carrier                                                                                                                                                                                                                                                                       ,Transportista                                                                                                                                                                                                                                                  ,Versandpartner                                                                                                                                                                                              ,Transporteur                                                                                                                                                                                                           ,Corriere
shippingServices    ,serviceTitle                       ,Service title                                                                                                                                                                                                                                                                 ,Nombre del servicio                                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,Titolo del servizio
shippingServices    ,serviceTitleDescription            ,Customise your shipment by editing it. Your customers will be able to see it.                                                                                                                                                                                                 ,Personaliza tu envío editándolo. Será visible para tus clientes.                                                                                                                                                                                               ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,transitTime                        ,Transit Time                                                                                                                                                                                                                                                                  ,Tiempo de tránsito                                                                                                                                                                                                                                             ,Versandlaufzeit                                                                                                                                                                                             ,Temps de transit                                                                                                                                                                                                       ,Tempi di transito
shippingServices    ,origin                             ,Origin                                                                                                                                                                                                                                                                        ,Origen                                                                                                                                                                                                                                                         ,Absender                                                                                                                                                                                                    ,Origine                                                                                                                                                                                                                ,Origine
shippingServices    ,destination                        ,Destination                                                                                                                                                                                                                                                                   ,Destino                                                                                                                                                                                                                                                        ,Empfänger                                                                                                                                                                                                   ,Destination                                                                                                                                                                                                            ,Destinazione
shippingServices    ,myPrices                           ,My prices                                                                                                                                                                                                                                                                     ,Mis precios                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,packlinkPrices                     ,Packlink prices                                                                                                                                                                                                                                                               ,Precios de Packlink                                                                                                                                                                                                                                            ,Packlink-Preise                                                                                                                                                                                             ,Prix Packlink                                                                                                                                                                                                          ,Prezzi di Packlink
shippingServices    ,configureService                   ,Set up service                                                                                                                                                                                                                                                                ,Configura el servicio                                                                                                                                                                                                                                          ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,showCarrierLogo                    ,Show carrier logo to my customers                                                                                                                                                                                                                                             ,Mostrar logo del transportista a mis clientes.                                                                                                                                                                                                                 ,Meinen Kunden das Logo anzeigen                                                                                                                                                                             ,Montrer le logo du transporteur à mes clients                                                                                                                                                                          ,Mostra logo del corriere ai miei clienti
shippingServices    ,pricePolicy                        ,Price policy                                                                                                                                                                                                                                                                  ,Política de precios                                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,pricePolicyDescription             ,The default <strong>will be Packlink's basic prices.</strong> But you can configure these in a more precise way below.                                                                                                                                                        ,Por defecto <strong>serán los precios base de Packlink.</strong> Pero puedes configurarlos de manera más precisa a continuación.                                                                                                                               ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,configurePricePolicy               ,Set up my shipment prices                                                                                                                                                                                                                                                     ,Configurar mis precios de envío                                                                                                                                                                                                                                ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,taxClassTitle                      ,Choose your saved tax class                                                                                                                                                                                                                                                   ,Elige tu tipo de impuesto guardado                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,tax                                ,Tax                                                                                                                                                                                                                                                                           ,Impuestos                                                                                                                                                                                                                                                      ,Steuer                                                                                                                                                                                                      ,Taxe                                                                                                                                                                                                                   ,Tassa
shippingServices    ,serviceCountriesTitle              ,Availability by destination country                                                                                                                                                                                                                                           ,Disponibilidad por país de destino                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,serviceCountriesDescription        ,Select the availability for the countries that are supported for your shipping service.                                                                                                                                                                                       ,Selecciona la disponibilidad para los países que hay permitidos para tu servicio de envío.                                                                                                                                                                     ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,openCountries                      ,See countries                                                                                                                                                                                                                                                                 ,Ver países                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,allCountriesSelected               ,All countries selected                                                                                                                                                                                                                                                        ,Todos los países seleccionados                                                                                                                                                                                                                                 ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,oneCountrySelected                 ,One country selected                                                                                                                                                                                                                                                          ,Un país seleccionado                                                                                                                                                                                                                                           ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,selectedCountries                  ,%s countries selected.                                                                                                                                                                                                                                                        ,%s países seleccionados                                                                                                                                                                                                                                        ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,firstPricePolicyDescription        ,"Perfect, just a couple of steps:<br><br>1. Choose whether you want to set them by weight and/or purchase price.<br><br>2. Choose a price policy and set it up."                                                                                                              ,"Perfecto, son un par de pasos:<br><br>1- Elige si quieres fijarlos por el peso y/o el precio de la compra.<br><br>2- Elige una política de precios y configúrala."                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,addFirstPolicy                     ,Add price rule                                                                                                                                                                                                                                                                ,Añadir regla de precio                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,addAnotherPolicy                   ,Add another rule                                                                                                                                                                                                                                                              ,Añadir otro precio                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,from                               ,From                                                                                                                                                                                                                                                                          ,Desde                                                                                                                                                                                                                                                          ,Von                                                                                                                                                                                                         ,De                                                                                                                                                                                                                     ,Da
shippingServices    ,to                                 ,To                                                                                                                                                                                                                                                                            ,Hasta                                                                                                                                                                                                                                                          ,Bis                                                                                                                                                                                                         ,À                                                                                                                                                                                                                      ,A
shippingServices    ,price                              ,Price                                                                                                                                                                                                                                                                         ,Precio                                                                                                                                                                                                                                                         ,Preis                                                                                                                                                                                                       ,Prix                                                                                                                                                                                                                   ,Prezzo
shippingServices    ,rangeTypeExplanation               ,1. Choose whether you want to set them by weight and/or purchase price.                                                                                                                                                                                                       ,1- Elige si quieres fijarlos por el peso y/o el precio de la compra.                                                                                                                                                                                           ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,rangeType                          ,Range type                                                                                                                                                                                                                                                                    ,Tipo de rango                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,priceRange                         ,Price range                                                                                                                                                                                                                                                                   ,Rango de precio                                                                                                                                                                                                                                                ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,priceRangeWithData                 ,Price range: from %s€ to %s€                                                                                                                                                                                                                                                  ,Rango de precio: desde %s€ hasta %s€                                                                                                                                                                                                                           ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,weightRange                        ,Weight range                                                                                                                                                                                                                                                                  ,Rango de peso                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,weightRangeWithData                ,Weight range: from %s kg to %s kg                                                                                                                                                                                                                                             ,Rango de peso: desde %s kg hasta %s kg                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,weightAndPriceRange                ,Weight and price range                                                                                                                                                                                                                                                        ,Rango de peso y precio                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,weightAndPriceRangeWithData        ,Weight and price range: from %s kg to %s kg and from %s€ to %s€                                                                                                                                                                                                               ,Rango de peso y precio: desde %s kg hasta %s kg y desde %s€ hasta %s€                                                                                                                                                                                          ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,singlePricePolicy                  ,Price policy %s                                                                                                                                                                                                                                                               ,Política de precio %s                                                                                                                                                                                                                                          ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,pricePolicyExplanation             ,2. Choose a price policy and set it up.                                                                                                                                                                                                                                       ,2- Elige una política de precios y configúrala.                                                                                                                                                                                                                ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,packlinkPrice                      ,Packlink Price                                                                                                                                                                                                                                                                ,Precio Packlink                                                                                                                                                                                                                                                ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,percentagePacklinkPrices           ,% of Packlink prices                                                                                                                                                                                                                                                          ,% de los precio de Packlink                                                                                                                                                                                                                                    ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,percentagePacklinkPricesWithData   ,% of Packlink prices: %s by %s%                                                                                                                                                                                                                                               ,% de los precio de Packlink: %s por %s%                                                                                                                                                                                                                        ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,fixedPrices                        ,Fixed price                                                                                                                                                                                                                                                                   ,Precio fijo                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,fixedPricesWithData                ,Fixed price: %s€                                                                                                                                                                                                                                                              ,Precio fijo: %s€                                                                                                                                                                                                                                               ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,increaseExplanation                ,"Increase: add a % to the price, this will be paid by the customer."                                                                                                                                                                                                          ,"Incrementar: añade un % al precio, lo pagará el cliente."                                                                                                                                                                                                     ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,reduceExplanation                  ,"Reduce: deduct a % from the price, you will pay for it yourself."                                                                                                                                                                                                            ,"Reducir: descuenta un % al precio, lo pagarás tú."                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
shippingServices    ,select                             ,Select                                                                                                                                                                                                                                                                        ,Elige                                                                                                                                                                                                                                                          ,Auswählen                                                                                                                                                                                                   ,Sélectionner                                                                                                                                                                                                           ,Sélectionner
